system:index,B1,B2,B3,B4,B5,B6,B7,EVI,MNDWI,NBR,NDBI,NDBaI,NDMI,NDWI,agbd,elevation,.geo
00000000000000000015_0,0.11754609025115777,0.1314921758421097,0.20188022439060244,0.16001406188207334,0.4940251343133599,0.3435124937077738,0.22648399501951563,0.7153533,0.2567179,0.82632816,0.32591364,0.6970097,0.6740864,0.14309435,477.229151,0.58636314,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,0.1311297067792039,0.14532148269727133,0.2370152948651205,0.18043927879852917,0.5093318452359215,0.39036521361412313,0.26163906436157425,0.71874404,0.26935133,0.7912155,0.37004262,0.69002444,0.6299574,0.17800097,422.690407,0.58141303,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,0.15879133320178404,0.17079018038015448,0.2405947491807195,0.20426698215815497,0.5057881638261879,0.3814216826558239,0.2777828888418676,0.7078767,0.28463542,0.7682678,0.36252427,0.65342563,0.6374757,0.18452168,251.932818,0.53423345,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,0.15340215846663377,0.15968104369112104,0.23080715856412348,0.19227584351654786,0.4902486613954188,0.3888653365883876,0.26691349254018615,0.7000248,0.26051354,0.7713547,0.38618922,0.67974865,0.6138108,0.18143426,163.627947,0.5332719,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,0.14537021703223807,0.15892116756429897,0.22897294842647048,0.19140924742550974,0.4945722057158759,0.3850990132420492,0.2645137047489223,0.7038853,0.2611899,0.77757674,0.3774501,0.67944336,0.6225499,0.17650932,296.926083,0.5351858,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,0.14664461414297783,0.1719113143455078,0.22945665634898707,0.19502838621229326,0.4988536859641312,0.3860440389385646,0.2626095009705476,0.7099087,0.26105842,0.7830092,0.37455547,0.68364346,0.62544453,0.17462495,209.24996,0.5327876,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,0.125777581468241,0.14554209013203018,0.21173686499993336,0.1841602562986922,0.5263221446984727,0.38725314717894804,0.25989901885155314,0.7299233,0.23014925,0.8039616,0.35122254,0.6894546,0.6487775,0.13929734,270.42101,0.7090077,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,0.14516370069683396,0.16122964987867464,0.2170598995669168,0.18509119373973465,0.5529364791727889,0.4066509559806788,0.26756307667538887,0.75780034,0.22173852,0.81027156,0.3510161,0.69787514,0.6489839,0.13352558,317.116761,0.7037906,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,0.1385730854098298,0.1571702898133104,0.21547041560269942,0.18363686993629572,0.5484045039931748,0.3990739279882864,0.2634720098985849,0.7532841,0.22571863,0.81246877,0.34621176,0.6964393,0.65378827,0.13372938,207.189145,0.69966817,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,0.12041594578792289,0.1368758561617059,0.21762927192820364,0.17323394586512197,0.5430883905958587,0.3821419893181067,0.24843007064363198,0.74816084,0.24490033,0.82695824,0.33115634,0.7029242,0.6688436,0.13836244,259.678499,0.7110696,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,0.1264317997973611,0.14049466182029835,0.2150232545563386,0.17239852087532534,0.5509060718489133,0.3903299885993901,0.25382326528511917,0.75657845,0.23281342,0.8248924,0.3342236,0.7028087,0.6657764,0.13220105,290.14061,0.7057037,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,0.1363222285615959,0.14867329955308045,0.21316073747292205,0.17684739183827394,0.5575795907312247,0.39380198069588224,0.2563566851088538,0.7622552,0.22660117,0.8255009,0.33280754,0.702359,0.66719246,0.12751433,183.322897,0.7020191,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,0.1331277581873893,0.14624893162002928,0.22146750809736662,0.18249771688069596,0.5013967989526857,0.3732224537725457,0.26195419446918583,0.7111972,0.26041794,0.7855751,0.35653245,0.6699613,0.64346755,0.16324984,290.038622,0.5170484,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,0.14432986908852619,0.1695232284968641,0.24635775379951583,0.2011125306886669,0.5204505259868607,0.4227972327250972,0.29203595669026783,0.72189975,0.25346518,0.7605388,0.3975691,0.6770027,0.6024309,0.18304977,35.264336,0.51761496,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,0.13198193349557646,0.14811735212324043,0.21997016843199443,0.16894229784160034,0.5088553330761112,0.3549281617454439,0.24608750984151959,0.72754484,0.27750993,0.8104525,0.32728362,0.6753441,0.6727164,0.15744753,237.342799,0.5170484,"{""type"":""MultiPoint"",""coordinates"":[]}"
